code,name_en,name_km,kind,parent_id,latitude,longitude
01020605,Phnum Thum Thmei,ភ្នំធំថ្មី,village,010206,13.45146486,103.016592
01020606,Anlong Sdei,អន្លង់ស្ដី,village,010206,13.44964521,103.023089
01020607,Kouk Thlong Kaeut,គោកធ្លង់កើត,village,010206,13.4479318,103.0351067
01020608,Kouk Thlong Kandal,គោកធ្លង់កណ្ដាល,village,010206,13.44879219,103.0295595
01020609,Ou Snguot,អូរស្ងួត,village,010206,13.46581722,103.0109518
01020610,Ou Prasat,អូរប្រាសាទ,village,010206,13.46843301,102.9989256
01020611,Kouk Ampil,គោកអំពិល,village,010206,13.47451183,103.0053115
01020612,Ra Chamkar Chek,រ៉ាចំការចេក,village,010206,13.45697974,103.0099721
01020613,Pou Rieng,ពោធិ៍រៀង,village,010206,13.48120815,103.0086636
01020614,Rung Krabau,រូងក្របៅ,village,010206,13.48924736,103.0024464
010207,Phnum Touch,ភ្នំតូច,commune,0102,13.4031493,103.0179642
01020701,Phnum Touch Tboung,ភ្នំតូចត្បូង,village,010207,13.40533451,103.019759
01020702,Phnum Touch Cheung,ភ្នំតូចជើង,village,010207,13.41074952,103.0187914
01020703,Thnal Bat,ថ្នល់បត់,village,010207,13.42609802,103.016819
01020704,Ou Nhor,អូរញរ,village,010207,13.39720837,103.0207487
01020705,Boeng Tras,បឹងត្រស់,village,010207,13.43230723,103.0019954
01020706,Monourom,មនោរម្យ,village,010207,13.41246239,103.0067756
01020707,Paoy Ta Sek,ប៉ោយតាសេក,village,010207,13.39754369,103.0382399
01020708,Prey Totueng,ព្រៃទទឹង,village,010207,13.42473185,103.0327751
01020709,Boeng Reang,បឹងរាំង,village,010207,13.4070766,103.0114359
01020710,Voat Thmei,វត្ដថ្មី,village,010207,13.41886837,103.0168784
010208,Rohat Tuek,រហាត់ទឹក,commune,0102,13.4848902,102.9831366
01020801,Pou Pir Daeum,ពោធិ៍ពីរដើម,village,010208,13.49543285,102.984848
01020802,Rohat Tuek,រហាត់ទឹក,village,010208,13.48639602,102.9849238
01020803,Thnal Bat,ថ្នល់បត់,village,010208,13.48187145,102.9853219
01020804,Kramol,ក្រមល់,village,010208,13.48089963,102.9757353
01020805,Khtum Chrum,ខ្ទុំជ្រុំ,village,010208,13.47109854,102.9807858
01020806,Chak Lech,ចកលិច,village,010208,13.47173588,102.9601142
01020807,Doun Mul,ដូនមូល,village,010208,13.46609818,102.9681217
01020808,Preaek Samraong,ព្រែកសំរោង,village,010208,13.46271414,102.9620374
01020809,Ou Dangkao,អូរដង្កោ,village,010208,13.45655962,102.9833269
01020810,Chamkar Chek,ចំការចេក,village,010208,13.45470777,102.9778022
01020811,Ou Chuob,អូរជួប,village,010208,13.448382,102.9778553
01020812,Ka Svay,កស្វាយ,village,010208,13.43456021,102.9886998
01020813,Chak Kaeut,ចកកើត,village,010208,13.47265745,102.9667735
010209,Ruessei Kraok,ឫស្សីក្រោក,commune,0102,13.5373823,103.0228322
01020901,Anhchanh,អញ្ចាញ,village,010209,13.54084603,103.0405817
01020902,Neang Ket,នាងកេត,village,010209,13.54439464,103.0047582
01020903,Praek Ropov,ព្រែករពៅ,village,010209,13.54977247,102.9991709
01020904,Sala Daeng,សាលាដែង,village,010209,13.54801678,103.0056517
01020905,Samraong,សំរោង,village,010209,13.54457788,103.0278498
01020906,Anlong Mean Troap,អន្លង់មានទ្រព្យ,village,010209,13.54097337,103.0545752
01020907,Chamkar Ta Daok,ចំការតាដោក,village,010209,13.53064342,103.0188941
01020908,Pralay Luong Kraom,ប្រទ្បាយហ្លួងក្រោម,village,010209,13.53925007,103.039902
01020909,Luong,ហ្លួង,village,010209,13.53737736,103.0316039
01020910,Ou Ta Kol,អូរតាគល់,village,010209,13.54177583,103.0520099
01020911,Pralay Luong Leu,ប្រទ្បាយហ្លួងលើ,village,010209,13.53766544,103.0349085
01020912,Kouk Svay,គោកស្វាយ,village,010209,13.5400229,103.0232688
01020913,Ou Ta Ma,អូរតាម៉ា,village,010209,13.54806429,103.0715886
01020914,Kaoh Kaev,កោះកែវ,village,010209,13.54452679,103.0213841
01020915,Phasi Sra,ផាស៊ីស្រា,village,010209,13.54141576,103.0314229
01020916,Ruessei Kraok,ឫស្សីក្រោក,village,010209,13.5418449,103.0251012
